code,name,country,route_count,importance,hub_count
1T,1Time Airline,South Africa,0,0.0,0
I9,Air Italy,Italy,4,0.001610306,3
PE,Air Europe,Italy,2,0.000805153,2
EM,Aero Benin,Benin,0,0.0,0
AQ,Aloha Airlines,United States,0,0.0,0
VV,Aerosvit Airlines,Ukraine,0,0.0,0
ZI,Aigle Azur,France,72,0.0289855072,3
JP,Adria Airways,Slovenia,40,0.0161030596,3
ZY,Ada Air,Albania,0,0.0,0
5W,Astraeus,United Kingdom,0,0.0,0
1B,Abacus International,Singapore,0,0.0,0
AN,Ansett Australia,Australia,0,0.0,0
JA,Air Bosna,Bosnia and Herzegovina,10,0.0040257649,3
2O,Air Salone,Sierra Leone,10,0.0040257649,3
PL,Aeroper,Peru,18,0.0072463768,3
U3,Avies,Estonia,0,0.0,0
SW,Air Namibia,Namibia,35,0.0140901771,3
AB,Air Berlin,Germany,798,0.3212560386,5
ZB,Air Bourbon,Reunion,210,0.0845410628,5
8A,Atlas Blue,Morocco,0,0.0,0
7T,Air Glaciers,Switzerland,0,0.0,0f
S2,Air Sahara,India,180,0.0724637681,3
KM,Air Malta,Malta,84,0.0338164251,3
JM,Air Jamaica,Jamaica,0,0.0,0
AP,Air One,Italy,88,0.0354267311,3
VD,Air Libert,France,0,0.0,0
QM,Air Malawi,Malawi,0,0.0,0
BM,Air Sicilia,Italy,34,0.0136876006,3
HP,America West Airlines,United States,0,0.0,0
U9,Tatarstan Airlines,Russia,0,0.0,0
4A,Air Kiribati,Kiribati,0,0.0,0
EL,Air Nippon,Japan,6,0.0024154589,3
GV,Aero Flight,Germany,34,0.0136876006,3
2B,Aerocondor,Portugal,42,0.0169082126,3
JW,Arrow Air,United States,8,0.0032206119,3
4D,Air Sinai,Egypt,2,0.000805153,2
OB,Astrakhan Airlines,Russia,28,0.0112721417,3
4C,Aires, S.A.,0,0.0,0
EV,Atlantic Southeast Airlines,United States,0,0.0,0
FO,Airlines Of Tasmania,Australia,34,0.0136876006,3
AU,Austral Lineas Aereas,Argentina,0,0.0,0
5N,Aeroflot-Nord,Russia,22,0.0088566828,3
IQ,Augsburg Airways,Germany,0,0.0,0
B9,Air Bangladesh,Bangladesh,46,0.0185185185,3
6G,Air Wales,United Kingdom,0,0.0,0
DR,Air Mediterranee,France,0,0.0,0
3G,Atlant-Soyuz Airlines,Russia,30,0.0120772947,3
Z8,Amaszonas,Bolivia,39,0.0157004831,3
XT,Air Exel,Netherlands,0,0.0,0
AZ,Alitalia,Italy,877,0.3530595813,5
R7,Aserca Airlines,Venezuela,26,0.0104669887,3
7E,Aeroline GmbH,Germany,2,0.000805153,2
GS,Air Foyle,United Kingdom,358,0.1441223833,5
VU,Air Ivoire,Ivory Coast,0,0.0,0
VL,Air VIA,Bulgaria,0,0.0,0
FK,Africa West,Togo,0,0.0,0
Q6,Aero Condor Peru,Peru,58,0.0233494364,3
KI,Adam Air,Indonesia,0,0.0,0
D9,Aeroflot-Don,Russia,0,0.0,0
QH,Air Florida,United States,34,0.0136876006,3
NM,Air Madrid,Spain,0,0.0,0
ZA,Access Air,United States,0,0.0,0
OF,Air Finland,Finland,0,0.0,0
NY,Air Iceland,Iceland,10,0.0040257649,3
2P,Air Philippines,Philippines,34,0.0136876006,3
2U,Air Guinee Express,Guinea,0,0.0,0
GG,Air Guyane,French Guiana,0,0.0,0
9U,Air Moldova,Moldova,38,0.0152979066,3
A7,Air Plus Comet,Spain,0,0.0,0
KK,Atlasjet,Turkey,32,0.0128824477,3
LV,Albanian Airlines,Albania,4,0.001610306,3
LK,Air Luxor,Portugal,0,0.0,0
W9,Air Bagan,Myanmar,29,0.0116747182,3
8D,Astair,Russian Federation,8,0.0032206119,3
OT,Aeropelican Air Services,Australia,0,0.0,0
U8,Armavia,Armenia,0,0.0,0
RE,Aer Arann,Ireland,0,0.0,0
VW,Aeromar,Mexico,42,0.0169082126,3
5L,Aerosur,Bolivia,0,0.0,0
BF,Aero-Service,Republic of the Congo,4,0.001610306,3
20,Air Salone,Sierra Leone,0,0.0,0
QL,Aero Lanka,Sri Lanka,14,0.0056360709,3
Z3,Avient Aviation,Zimbabwe,12,0.0048309179,3
TD,Atlantis European Airways,Armenia,4,0.001610306,3
6K,Asian Spirit,Philippines,0,0.0,0
VO,Tyrolean Airways,Austria,0,0.0,0
RK,Air Afrique,Ivory Coast,0,0.0,0
2K,Aerolineas Galapagos (Aerogal),Ecuador,12,0.0048309179,3
FL,AirTran Airways,United States,726,0.2922705314,5
A5,Airlinair,France,150,0.0603864734,3
P5,AeroRep,Colombia,0,0.0,0
4T,Belair Airlines,Switzerland,12,0.0048309179,3
KF,Blue1,Finland,0,0.0,0
BD,bmi,United Kingdom,0,0.0,0
LZ,Balkan Bulgarian Airlines,,0,0.0,0
WW,bmibaby,United Kingdom,10,0.0040257649,3
BV,Blue Panorama Airlines,Italy,49,0.019726248,3
B3,Bellview Airlines,Nigeria,0,0.0,0
DB,Brit Air,France,0,0.0,0
QW,Blue Wings,Germany,0,0.0,0
JV,Bearskin Lake Air Service,Canada,39,0.0157004831,3
BS,British International Helicopters,United Kingdom,0,0.0,0
CH,Bemidji Airlines,United States,0,0.0,0
7P,Metro Batavia,Indonesia,27,0.0108695652,3
0B,Blue Air,Romania,0,0.0,0
KJ,British Mediterranean Airways,United Kingdom,0,0.0,0
8N,Barents AirLink,Sweden,0,0.0,0
CP,Canadian Airlines,Canada,0,0.0,0
XG,Calima Aviacion,Spain,0,0.0,0
NT,Binter Canarias,Spain,46,0.0185185185,3
C0,Centralwings,Poland,0,0.0,0
FB,Bulgaria Air,Bulgaria,56,0.0225442834,3
3Q,Yunnan Airlines,China,0,0.0,0
RV,Caspian Airlines,Iran,0,0.0,0
C9,Cirrus Airlines,Germany,0,0.0,0
CF,City Airline,Sweden,0,0.0,0
G3,City Connexion Airlines,Burundi,332,0.1336553945,5
EC,Avialeasing Aviation Company,Uzbekistan,0,0.0,0
CP,Compass Airlines,United States,0,0.0,0
MN,Comair,South Africa,14,0.0056360709,3
9L,Colgan Air,United States,0,0.0,0
QI,Cimber Air,Denmark,0,0.0,0
CO,Continental Airlines,United States,0,0.0,0
CO,Continental Express,United States,0,0.0,0
6A,Consorcio Aviaxsa,Mexico,0,0.0,0
CS,Continental Micronesia,United States,0,0.0,0
C3,Contact Air,Germany,0,0.0,0
OH,Comair,United States,0,0.0,0
DQ,Coastal Air,United States,0,0.0,0
YK,Cyprus Turkish Airlines,Turkey,34,0.0136876006,3
OK,Czech Airlines,Czech Republic,111,0.0446859903,3
H8,Dalavia,Russia,0,0.0,0
DO,Dominicana de Aviaci,Dominican Republic,0,0.0,0
0D,Darwin Airline,Switzerland,0,0.0,0
5D,DonbassAero,Ukraine,0,0.0,0
KA,Dragonair,DRAGON,96,0.038647343,3
E3,Domodedovo Airlines,Russia,0,0.0,0
RP,Chautauqua Airlines,United States,0,0.0,0
D8,Djibouti Airlines,Djibouti,0,0.0,0
DI,dba,Germany,0,0.0,0
QU,East African,Uganda,4,0.001610306,3
DK,Eastland Air,Australia,0,0.0,0
OV,Estonian Air,Estonia,26,0.0104669887,3
EA,European Air Express,Germany,0,0.0,0
K2,Eurolot,Poland,36,0.0144927536,3
GJ,Eurofly Service,Italy,0,0.0,0
RZ,Euro Exec Express,Sweden,17,0.0068438003,3
UI,Eurocypria Airlines,Cyprus,0,0.0,0
EZ,Evergreen International Airlines,United States,0,0.0,0
XE,ExpressJet,United States,0,0.0,0
FC,Finncomm Airlines,Finland,0,0.0,0
EF,Far Eastern Air Transport,Taiwan,8,0.0032206119,3
EO,Express One International,United States,12,0.0048309179,3
RF,Florida West International Airways,United States,0,0.0,0
JN,Excel Airways,United Kingdom,8,0.0032206119,3
EU,Empresa Ecuatoriana De Aviacion,Ecuador,80,0.0322061192,3
XM,Alitalia Express,Italy,0,0.0,0
7F,First Air,Canada,74,0.0297906602,3
TE,FlyLal,Lithuania,11,0.0044283414,3
DP,First Choice Airways,United Kingdom,0,0.0,0
BE,Flybe,United Kingdom,268,0.1078904992,5
LF,FlyNordic,Sweden,4,0.001610306,3
F7,Flybaboo,Switzerland,38,0.0152979066,3
B8,Eritrean Airlines,Eritrea,0,0.0,0
VY,Formosa Airlines,Taiwan,384,0.154589372,5
GT,GB Airways,United Kingdom,0,0.0,0
B5,Flightline,United Kingdom,26,0.0104669887,3
FP,Freedom Air,United States,0,0.0,0
2F,Frontier Flying Service,United States,0,0.0,0
ST,Germania,Germany,96,0.038647343,3
B4,Flyglobespan,United Kingdom,0,0.0,0
G8,Go Air,India,77,0.0309983897,3
G0,Ghana International Airlines,Ghana,0,0.0,0
ZK,Great Lakes Airlines,United States,61,0.0245571659,3
QB,Georgian National Airlines,Georgia,12,0.0048309179,3
DC,Golden Air,Sweden,20,0.0080515298,3
4R,Hamburg International,Germany,0,0.0,0
H6,Hageland Aviation Services,United States,0,0.0,0
4U,Germanwings,Germany,470,0.1892109501,5
HW,Hello,Switzerland,10,0.0040257649,3
8H,Heli France,France,0,0.0,0
BH,Hawkair,Canada,8,0.0032206119,3
HF,Hapagfly,Germany,25,0.0100644122,3
2T,Haiti Ambassador Airlines,Haiti,0,0.0,0
T4,Hellas Jet,Greece,0,0.0,0
UD,Hex'Air,France,2,0.000805153,2
BN,Horizon Airlines,Australia,0,0.0,0
IK,Imair Airlines,Azerbaijan,0,0.0,0
TY,Iberworld,Spain,23,0.0092592593,3
3L,Intersky,Austria,26,0.0104669887,3
QZ,Indonesia AirAsia,Indonesia,62,0.0249597424,3
IC,Indian Airlines,India,0,0.0,0
FW,Ibex Airlines,Japan,32,0.0128824477,3
IO,Indonesian Airlines,Indonesia,0,0.0,0
ZA,Interavia Airlines,Russia,0,0.0,0
I9,Indigo,United States,4,0.001610306,3
D6,Interair South Africa,South Africa,2,0.000805153,2
IS,Island Airlines,United States,0,0.0,0
WC,Islena De Inversiones,Honduras,0,0.0,0
8L,Cargo Plus Aviation,United Arab Emirates,130,0.0523349436,3
ID,Interlink Airlines,South Africa,16,0.0064412238,3
IF,Islas Airways,Spain,0,0.0,0
GI,Itek Air,Kyrgyzstan,0,0.0,0
JO,JALways,Japan,0,0.0,0
9W,Jet Airways,India,292,0.1175523349,5
8J,Jet4You,Morocco,0,0.0,0
JC,JAL Express,Japan,0,0.0,0
KD,KD Avia,Russia,0,0.0,0
3K,Jetstar Asia Airways,Singapore,36,0.0144927536,3
EG,Japan Asia Airways,Japan,18,0.0072463768,3
KV,Kavminvodyavia,Russia,0,0.0,0
7K,Kogalymavia Air Company,Russia,0,0.0,0
IT,Kingfisher Airlines,India,0,0.0,0
JF,Jetairfly,Belgium,0,0.0,0
7B,Krasnojarsky Airlines,Russia,0,0.0,0
4M,LAN Argentina,Argentina,10,0.0040257649,3
LR,LACSA,Costa Rica,24,0.0096618357,3
XO,LTE International Airways,Spain,0,0.0,0
LU,LAN Express,Chile,0,0.0,0
NG,Lauda Air,Austria,0,0.0,0
GW,Kuban Airlines,Russia,0,0.0,0
L3,LTU Austria,Austria,0,0.0,0
HE,Luftfahrtgesellschaft Walter,Germany,0,0.0,0
IN,MAT Macedonian Airlines,Macedonia,0,0.0,0
LI,Leeward Islands Air Transport,Antigua and Barbuda,62,0.0249597424,3
MJ,L,Argentina,52,0.0209339775,3
TF,Malmö Aviation,Sweden,36,0.0144927536,3
MA,Malév,Hungary,0,0.0,0
CC,Macair Airlines,Australia,13,0.0052334944,3
R5,Malta Air Charter,Malta,0,0.0,0
